Date,Hour,Nuclear,Gas,Hydro,Wind,Solar,Biofuel,Total
2021-01-01,1,9021,338,4781,161,0,0,14301
2021-01-01,2,9037,245,4363,141,0,0,13786
2021-01-01,3,9027,214,4028,238,0,0,13507
2021-01-01,4,9182,214,3681,428,0,0,13505
2021-01-01,5,9219,213,3172,277,0,0,12881
2021-01-01,6,9220,212,3199,368,0,0,12999
2021-01-01,7,9213,214,3329,586,0,0,13342
2021-01-01,8,9208,214,3570,735,2,0,13729
2021-01-01,9,9215,214,3694,964,21,0,14108
2021-01-01,10,9245,212,3899,1033,36,0,14425
2021-01-01,11,9418,213,3831,1269,55,0,14786
2021-01-01,12,9595,216,3615,1644,72,0,15142
2021-01-01,13,9688,286,3680,1768,67,0,15489
2021-01-01,14,9691,323,3757,1797,50,0,15618
2021-01-01,15,9698,368,4111,1855,31,0,16063
2021-01-01,16,9695,433,4595,1495,13,0,16231
2021-01-01,17,9686,435,4344,1778,1,0,16244
2021-01-01,18,9681,438,4678,1880,0,0,16677
2021-01-01,19,9683,439,4789,1969,0,0,16880
2021-01-01,20,9782,438,5025,1924,0,0,17169
2021-01-01,21,9797,435,4813,1569,0,0,16614
2021-01-01,22,9802,294,4577,1495,0,0,16168
2021-01-01,23,9814,208,4265,1144,0,0,15431
2021-01-01,24,9791,207,3847,865,0,0,14710
2021-01-02,1,9809,209,3877,575,0,0,14470
2021-01-02,2,9810,209,3545,542,0,0,14106
2021-01-02,3,9818,208,3487,441,0,0,13954
2021-01-02,4,9809,207,3950,437,0,0,14403
2021-01-02,5,9822,207,3658,499,0,0,14186
2021-01-02,6,9837,208,3581,712,0,0,14338
2021-01-02,7,9833,208,3427,730,0,0,14198
2021-01-02,8,9833,208,3745,485,1,0,14272
2021-01-02,9,9829,281,4245,426,3,0,14784
2021-01-02,10,9837,326,4273,276,35,0,14747
2021-01-02,11,9853,500,5070,172,64,0,15659
2021-01-02,12,9847,985,5033,103,59,0,16027
2021-01-02,13,9841,1070,4791,104,72,0,15878
2021-01-02,14,9839,1335,4532,114,65,1,15886
2021-01-02,15,9788,1609,4625,88,40,14,16164
2021-01-02,16,9834,1645,4793,50,22,42,16386
2021-01-02,17,9842,1641,5236,42,2,51,16814
2021-01-02,18,9845,1873,5969,86,0,51,17824
2021-01-02,19,9845,1702,5810,75,0,51,17483
2021-01-02,20,9846,1629,5325,112,0,54,16966
2021-01-02,21,9843,1089,5127,154,0,56,16269
2021-01-02,22,9846,804,4784,214,0,56,15704
2021-01-02,23,9843,483,4281,246,0,14,14867
2021-01-02,24,9848,238,3935,300,0,0,14321
2021-01-03,1,9846,199,3431,252,0,0,13728
2021-01-03,2,9853,199,3392,387,0,0,13831
2021-01-03,3,9841,198,3279,511,0,0,13829
2021-01-03,4,9835,204,3214,384,0,0,13637
2021-01-03,5,9838,210,3275,499,0,0,13822
2021-01-03,6,9847,287,3287,484,0,0,13905
2021-01-03,7,9850,573,3287,303,0,0,14013
2021-01-03,8,9851,934,3501,242,2,0,14530
2021-01-03,9,9851,1323,3641,391,4,0,15210
2021-01-03,10,9848,1425,3945,154,7,0,15379
2021-01-03,11,9848,1434,4361,123,16,0,15782
2021-01-03,12,9856,1425,4833,93,23,21,16251
2021-01-03,13,9850,1498,5093,82,27,50,16600
2021-01-03,14,9839,1673,4653,130,37,51,16383
2021-01-03,15,9834,1824,4699,120,39,51,16567
2021-01-03,16,9842,1838,4694,158,19,51,16602
2021-01-03,17,9844,1894,5394,183,2,51,17368
2021-01-03,18,9852,1926,6195,186,0,56,18215
2021-01-03,19,9848,1934,6094,199,0,61,18136
2021-01-03,20,9843,1730,5563,208,0,68,17412
2021-01-03,21,9848,1531,5071,150,0,64,16664
2021-01-03,22,9859,891,4935,145,0,16,15846
2021-01-03,23,9860,466,4436,175,0,0,14937
2021-01-03,24,9869,250,4171,152,0,0,14442
2021-01-04,1,9866,209,3573,169,0,0,13817
2021-01-04,2,9858,357,3455,205,0,0,13875
2021-01-04,3,9852,626,3173,201,0,0,13852
2021-01-04,4,9849,966,3121,189,0,10,14135
2021-01-04,5,9857,1303,3105,240,0,12,14517
2021-01-04,6,9860,1677,3136,197,0,17,14887
2021-01-04,7,9867,1775,3414,346,0,27,15429
2021-01-04,8,9859,1807,4096,297,1,28,16088
2021-01-04,9,9850,2045,4728,340,1,31,16995
2021-01-04,10,9853,2050,4874,344,9,34,17164
2021-01-04,11,9848,1823,5245,388,19,52,17375
2021-01-04,12,9850,1820,5313,365,27,84,17459
2021-01-04,13,9847,1965,5322,339,33,82,17588
2021-01-04,14,9847,2036,5154,312,33,81,17463
2021-01-04,15,9837,2017,5371,361,28,83,17697
2021-01-04,16,9844,1981,5554,441,16,81,17917
2021-01-04,17,9839,2221,6012,479,3,83,18637
2021-01-04,18,9829,2750,6228,471,0,114,19392
2021-01-04,19,9829,2481,6180,456,0,92,19038
2021-01-04,20,9827,1925,5758,527,0,83,18120
2021-01-04,21,9828,1569,5221,632,0,82,17332
2021-01-04,22,9827,1347,4864,702,0,82,16822
2021-01-04,23,9832,931,4851,573,0,45,16232
2021-01-04,24,9886,806,3970,504,0,23,15189
2021-01-05,1,9902,883,3266,213,0,18,14282
2021-01-05,2,9898,1018,3323,248,0,17,14504
2021-01-05,3,9896,1040,3301,170,0,17,14424
2021-01-05,4,9897,1133,3176,139,0,17,14362
2021-01-05,5,9897,1268,3340,104,0,17,14626
2021-01-05,6,9900,1444,3435,73,0,20,14872
2021-01-05,7,9894,1445,3836,80,0,34,15289
2021-01-05,8,9888,1518,4743,82,0,36,16267
2021-01-05,9,9886,1888,5013,75,1,32,16895
2021-01-05,10,9890,1984,5123,63,8,32,17100
2021-01-05,11,9892,2315,4891,33,22,32,17185
2021-01-05,12,9891,2524,4837,27,31,32,17342
2021-01-05,13,9887,2424,4867,45,32,32,17287
2021-01-05,14,9887,2644,4792,57,29,32,17441
2021-01-05,15,9898,2426,5071,73,23,56,17547
2021-01-05,16,9920,2618,5107,75,14,83,17817
2021-01-05,17,9919,2743,5626,91,4,83,18466
2021-01-05,18,9918,3127,5913,103,0,111,19172
