ont_ene,ont_10s,ont_10n,ont_30r
71.97,1.27,0.75,0.75
71.97,1.27,0.75,0.75
71.97,1.27,0.75,0.75
71.97,1.27,0.75,0.75
71.97,1.26,0.75,0.75
71.97,1.27,0.75,0.75
71.97,1.27,0.75,0.75
71.97,1.27,0.75,0.75
71.98,1.27,0.75,0.75
71.97,1.27,0.75,0.75
74.48,1.27,0.75,0.75
71.97,1.27,0.75,0.75
