ont_ene,ont_10s,ont_10n,ont_30r
71.99,1.27,0.75,0.75
71.99,1.27,0.75,0.75
71.97,1.27,0.75,0.75
71.97,1.27,0.75,0.75
71.97,1.27,0.75,0.75
71.97,1.27,0.75,0.75
71.97,1.27,0.75,0.75
71.95,1.27,0.75,0.75
71.98,1.27,0.75,0.75
71.97,1.27,0.75,0.75
71.97,1.27,0.75,0.75
71.97,1.27,0.75,0.75
