ont_ene,ont_10s,ont_10n,ont_30r
83.67,1.34,0.15,0.15
83.06,1.34,0.15,0.15
82.76,1.34,0.15,0.15
83.01,1.34,0.15,0.15
83.06,1.34,0.15,0.15
83.06,1.34,0.15,0.15
83.11,1.34,0.15,0.15
83.06,1.34,0.15,0.15
83.06,1.34,0.15,0.15
83.24,1.34,0.15,0.15
83.28,1.34,0.15,0.15
83.16,1.34,0.15,0.15
