ont_ene,ont_10s,ont_10n,ont_30r
98.27,1.5,1.5,0.1
100.5,1.5,1.5,0.1
100.5,1.5,1.5,0.1
100.5,1.33,1.33,0.1
100.5,1.33,1.33,0.1
100.5,1.33,1.33,0.1
100.5,17,17,0.75
105.1,17,17,0.75
100.5,12.41,12.41,0.75
100.5,1.33,1.33,0.1
100.5,1.33,1.33,0.1
105.48,17,17,0.1
