ont_ene,ont_10s,ont_10n,ont_30r
154.35,30,30,30
93.72,9.99,9.99,0.75
112.01,17,17,17
112.12,17,17,17
112.01,17,17,17
112.13,17,17,17
118.95,17,17,17
149.32,24.98,24.98,24.98
149.32,24.98,24.98,24.98
118.95,17,17,17
154.45,30.1,30.1,30
152.32,27.97,27.97,27.97
