ont_ene,ont_10s,ont_10n,ont_30r
14.37,1.39,0.15,0.15
75.25,1.34,0.15,0.15
75.25,1.34,0.15,0.15
77.44,1.34,0.15,0.15
77.44,1.33,0.15,0.15
75.25,1.34,0.15,0.15
77.44,1.33,0.15,0.15
77.44,1.33,0.15,0.15
77.58,0.93,0.15,0.15
77.82,0.24,0.15,0.15
77.85,0.16,0.1,0.1
80.49,1.33,0.15,0.15
