ont_ene,ont_10s,ont_10n,ont_30r
73.98,1.35,1.35,0.1
73.98,1.35,1.35,0.1
74.71,1.35,1.35,0.1
74.72,1.35,1.35,0.1
74.97,1.35,1.35,0.1
75,1.35,1.35,0.1
75.56,1.35,1.35,0.1
76.08,1.35,1.35,0.1
79.23,2,2,0.1
81.24,5.99,5.99,0.1
81.24,5.99,5.99,0.1
75.86,5.99,5.99,0.1
