ont_ene,ont_10s,ont_10n,ont_30r
69.67,1.27,0.27,0.1
69.31,1.27,0.75,0.75
69.31,1.27,0.75,0.75
69.67,1.27,0.27,0.1
69.67,1.27,0.27,0.1
70.47,1.27,0.75,0.75
69.81,1.27,0.27,0.1
72,1.27,1.27,1.27
71.97,1.27,1.27,1.27
71.97,1.27,1.27,1.27
71.97,1.27,1.27,1.27
71.97,1.27,1.27,1.27
