ont_ene,ont_10s,ont_10n,ont_30r
6.2,1.4,0.75,0.75
14.35,1.39,0.75,0.75
14.37,1.39,0.75,0.75
14.39,1.39,0.75,0.75
14.37,1.39,0.75,0.75
14.38,1.39,0.75,0.75
14.4,30,30,30
14.4,30,30,30
14.4,30,30,30
14.4,30,30,30
14.4,30,30,30
60.05,30,30,30
