ont_ene,ont_10s,ont_10n,ont_30r
82.53,1.16,0.13,0.13
82.38,1.01,0.13,0.13
82.38,1.01,0.13,0.13
82.39,1.02,0.13,0.13
82.53,1.16,0.13,0.13
82.39,1.02,0.13,0.13
82.53,1.16,0.13,0.13
82.53,1.16,0.13,0.13
82.39,1.02,0.13,0.13
82.54,1.17,0.13,0.13
82.54,1.17,0.13,0.13
82.63,1.26,0.13,0.13
