ont_ene,ont_10s,ont_10n,ont_30r
80.31,1.33,0.15,0.15
80.61,1.33,0.15,0.1
80.24,1.33,0.15,0.15
80.61,1.33,0.15,0.1
80.61,1.33,0.15,0.1
80.75,1.33,0.15,0.15
80.61,1.33,0.15,0.1
80.61,1.33,0.15,0.1
80.61,1.33,0.15,0.1
80.61,1.33,0.15,0.1
80.62,1.33,0.15,0.1
80.61,1.33,0.15,0.1
