ont_ene,ont_10s,ont_10n,ont_30r
77.34,9.99,9.99,4.99
78.02,30.1,30.1,0.75
79.07,28.5,28.5,0.75
78.36,29.58,29.58,0.75
79.07,28.5,28.5,0.75
80.02,27.05,27.05,0.75
80.29,26.64,26.64,0.75
86.57,17.04,17.04,0.75
86.59,17,17,0.75
86.59,17,17,0.75
86.59,17,17,0.75
86.59,17,17,0.75
