ont_ene,ont_10s,ont_10n,ont_30r
0,1.43,0.12,0.12
5,1.43,0.12,0.12
5.74,1.43,0.12,0.12
5.85,1.43,0.12,0.12
5.85,1.43,0.12,0.12
6.2,1.43,0.12,0.12
14,1.42,0.12,0.12
14.31,1.42,0.12,0.12
14.32,1.38,0.12,0.12
14.34,1.42,0.12,0.12
14.34,1.42,0.12,0.12
14.38,1.42,0.12,0.12
