ont_ene,ont_10s,ont_10n,ont_30r
80.01,0.99,0.27,0.27
80.01,0.99,0.27,0.27
79.74,0.99,0.27,0.27
79.74,0.99,0.27,0.27
79.74,0.99,0.27,0.27
79.24,0.99,0.17,0.17
79.24,0.99,0.17,0.17
79.23,0.99,0.17,0.17
79.23,0.99,0.17,0.17
79.23,0.99,0.17,0.17
78.43,0.99,0.17,0.17
77.61,0.99,0.17,0.17
