ont_ene,ont_10s,ont_10n,ont_30r
80.22,1.34,0.15,0.15
79.55,1.34,0.15,0.15
79.55,1.34,0.15,0.15
79.54,1.34,0.15,0.15
79.54,1.34,0.15,0.15
79.54,1.34,0.15,0.15
79.54,1.34,0.15,0.15
80.22,1.34,0.15,0.15
79.13,1.34,0.15,0.15
77.77,1.34,0.15,0.15
77.9,1.34,0.15,0.15
77.73,1.34,0.15,0.15
