ont_ene,ont_10s,ont_10n,ont_30r
6,0.27,0.27,0.27
6.04,0.27,0.27,0.27
6.2,0.27,0.27,0.27
6.04,0.27,0.27,0.27
14,0.27,0.27,0.27
6.06,0.27,0.27,0.27
14.36,0.27,0.27,0.27
14.38,0.27,0.27,0.27
14.38,0.27,0.27,0.27
14.4,0.27,0.27,0.27
14.39,0.27,0.27,0.27
14.4,0.27,0.27,0.27
