ont_ene,ont_10s,ont_10n,ont_30r
14.37,1.38,0.75,0.75
14.39,1.38,0.75,0.75
14.39,1.38,0.75,0.75
14.39,1.38,0.75,0.75
14.4,1.38,0.75,0.75
73.45,1.33,0.75,0.75
73.46,1.33,0.75,0.75
73.45,1.33,0.75,0.75
73.46,1.33,0.75,0.75
75.06,1.26,0.75,0.75
74.23,1.33,0.75,0.75
74.99,1.19,0.75,0.75
