mkt_date,mkt_he,dacp_flag,file_ver,created_at,ont_cap,ont_ene,int_nuc_cap,int_nuc_out,int_nuc_off,int_nuc_sch,int_gas_cap,int_gas_out,int_gas_off,int_gas_sch,int_hyd_cap,int_hyd_out,int_hyd_for,int_hyd_off,int_hyd_sch,int_win_cap,int_win_out,int_win_for,int_win_sch,int_sol_cap,int_sol_out,int_sol_for,int_sol_sch,int_bio_cap,int_bio_out,int_bio_off,int_bio_sch,int_oth_cap,int_oth_out,int_oth_off,int_oth_sch,int_tot_out,int_tot_off,int_tot_sch,imp_man_off,imp_man_sch,imp_min_off,imp_min_sch,imp_mic_off,imp_mic_sch,imp_new_off,imp_new_sch,imp_que_off,imp_que_sch,imp_tot_off,imp_tot_sch,imp_tot_est,imp_tot_cap,ont_bot_cap,ont_reg,ont_tot_sup,ont_for_dem,ont_peak_dem,ont_avg_dem,ont_emb_wind,ont_emb_sol,ont_disp_cap,ont_disp_bid,ont_disp_on,ont_disp_off,ont_hdr_bid,ont_hdr_sch,ont_hdr_cur,exp_man_bid,exp_man_sch,exp_min_bid,exp_min_sch,exp_mic_bid,exp_mic_sch,exp_new_bid,exp_new_sch,exp_que_bid,exp_que_sch,exp_tot_bid,exp_tot_sch,exp_tot_cap,grh_tot,grh_min_10n,grh_min_10s,grh_lfu,grh_add,total_req,cap_excess,energy_excess,offered_cap_excess,res_not_sch,imp_not_sch
2022-06-29,1,,,2022-06-29T23:56:00,37394,21404,13081,3527,9747,9355,10679,2854,3824,155,7882,1834,3937,5666,3592,4943,3456,1487,1862,478,478,0,0,315,122,13,13,17,0,0,0,12742,20736,14976,300,184,258,0,140,0,0,0,1955,105,2653,289,0,0,1507,100,23045,12892,13009,12892,111,0,513,203,-100,103,0,0,0,217,-56,128,-50,1644,-1000,1590,-1000,1714,-464,5293,-2570,0,1520,945,236,0,0,14309,8736,8512,9062,5859,2364
2022-06-29,2,,,2022-06-29T23:56:00,37394,20752,13081,3527,9747,9355,10679,2854,3869,159,7882,1834,3771,5670,3613,4943,3943,1000,1000,478,478,0,0,315,122,13,13,17,0,0,0,13219,20299,14140,300,184,258,60,140,0,0,0,1944,94,2642,338,0,0,1507,100,22568,12426,12659,12426,98,0,513,203,-100,103,0,0,0,49,0,138,0,1664,-1000,1558,-924,2013,-330,5422,-2254,0,1520,945,236,0,0,13843,8725,8326,8965,6259,2304
2022-06-29,3,,,2022-06-29T23:56:00,37394,20627,13081,3527,9747,9375,10679,2854,3573,155,7882,1834,3771,5672,3447,4943,3943,1000,1000,478,478,0,0,315,122,13,13,17,0,0,0,13216,20005,13990,300,184,258,0,140,0,0,0,1944,94,2642,278,0,0,1632,100,22445,12209,12318,12209,71,0,513,203,-100,103,0,0,0,185,-68,138,0,1544,-1000,1429,-750,1990,-376,5286,-2194,0,1520,945,236,0,0,13626,8819,8418,9012,6115,2364
2022-06-29,4,,,2022-06-29T23:56:00,37394,20769,13081,3527,9747,9375,10679,2854,3870,207,7882,1834,3770,5674,3450,4943,3799,1144,1000,478,478,0,0,315,122,13,13,17,0,0,0,13076,20447,14045,300,184,198,0,140,0,0,0,1944,94,2582,278,0,0,1632,100,22586,12145,12349,12145,66,0,513,203,-100,103,0,0,0,49,0,128,0,1514,-1000,1492,-937,1736,-445,4919,-2382,0,1575,945,236,0,0,13617,8969,8624,9307,6501,2304
2022-06-29,5,,,2022-06-29T23:56:00,37394,20770,13081,3527,9747,9375,10679,2854,3561,442,7882,1834,3794,5674,3522,4943,3823,1119,1056,478,477,1,0,315,122,13,13,17,0,0,0,13099,20115,14408,300,184,198,0,140,0,400,0,2189,286,3227,470,0,0,1632,100,22563,12919,12919,12553,56,2,513,203,-100,103,0,0,0,209,-92,128,0,1589,-963,1474,-712,1599,-484,4999,-2251,0,1575,945,236,0,0,14391,8172,7851,9050,5806,2757
2022-06-29,6,,,2022-06-29T23:56:00,37394,20991,13081,3527,9747,9375,10679,2854,3863,501,7882,1834,3949,5672,3998,4943,3771,1172,1007,478,464,14,14,315,122,13,13,17,0,0,0,13034,20480,14907,184,184,150,0,140,0,450,0,2189,1247,3113,1431,0,0,1632,100,22628,14176,14176,13535,56,39,513,203,-97,106,0,0,0,49,0,128,0,1364,-1000,1383,-1000,1514,-399,4438,-2399,0,1575,945,236,0,0,15645,6983,6815,8044,5670,1682
2022-06-29,7,,,2022-06-29T23:56:00,37394,21093,13081,3527,9747,9375,10679,2854,3993,629,7882,1834,4171,5667,3895,4943,3936,1007,1014,478,419,59,55,315,122,13,13,17,0,0,0,13152,20486,14979,0,0,150,0,140,0,0,0,2203,1541,2493,1541,0,0,1632,100,22510,14817,15115,14817,49,128,513,104,-97,7,0,0,0,49,0,128,0,1447,-1000,1136,-837,1273,-159,4033,-1996,0,1575,945,236,0,0,16385,6125,6276,6393,5603,952
2022-06-29,8,,,2022-06-29T23:56:00,37394,20375,13081,3527,9747,9375,10679,2821,4148,1029,7882,1931,3984,5681,3957,4943,4654,289,882,478,355,124,138,315,122,13,13,17,0,0,0,13857,20002,15393,116,0,198,0,140,0,0,0,2203,1512,2657,1512,0,0,1632,10,21895,15413,15582,15413,54,234,513,104,-97,7,0,0,0,73,-24,128,-24,1214,-1000,788,-567,687,-73,2890,-1688,0,1575,945,236,0,0,16981,4914,4962,5606,4705,1145
2022-06-29,9,,,2022-06-29T23:56:00,37394,21635,13081,3527,9747,9375,10679,2912,4094,1411,7882,1748,4488,5729,4126,4943,3913,1030,238,478,249,229,209,315,122,13,13,17,0,0,0,12937,20842,15371,157,0,253,0,140,0,100,0,2188,1802,2838,1802,0,0,1632,10,22815,15751,15886,15751,48,371,513,104,-97,7,0,0,0,73,-24,128,-24,1419,-1000,929,-553,688,-74,3237,-1675,0,1575,945,236,0,0,17319,5496,5884,6323,5568,1036
2022-06-29,10,,,2022-06-29T23:56:00,37394,20872,13081,3527,9747,9375,10679,2932,4352,1796,7882,1802,4543,5432,3767,4943,4736,206,206,478,223,255,249,315,122,13,13,17,0,0,0,13791,20005,15405,157,0,253,0,290,0,150,0,2083,1737,2933,1737,0,0,1632,10,21961,15820,15894,15820,26,477,513,104,-97,7,0,0,0,49,0,128,-24,1419,-1000,1100,-673,687,-9,3383,-1706,0,1665,945,236,0,0,17478,4483,5052,5483,4697,1196
