mkt_date,mkt_he,dacp_flag,file_ver,created_at,ont_cap,ont_ene,int_nuc_cap,int_nuc_out,int_nuc_off,int_nuc_sch,int_gas_cap,int_gas_out,int_gas_off,int_gas_sch,int_hyd_cap,int_hyd_out,int_hyd_for,int_hyd_off,int_hyd_sch,int_win_cap,int_win_out,int_win_for,int_win_sch,int_sol_cap,int_sol_out,int_sol_for,int_sol_sch,int_bio_cap,int_bio_out,int_bio_off,int_bio_sch,int_oth_cap,int_oth_out,int_oth_off,int_oth_sch,int_tot_out,int_tot_off,int_tot_sch,imp_man_off,imp_man_sch,imp_min_off,imp_min_sch,imp_mic_off,imp_mic_sch,imp_new_off,imp_new_sch,imp_que_off,imp_que_sch,imp_tot_off,imp_tot_sch,imp_tot_est,imp_tot_cap,ont_bot_cap,ont_reg,ont_tot_sup,ont_for_dem,ont_peak_dem,ont_avg_dem,ont_emb_wind,ont_emb_sol,ont_disp_cap,ont_disp_bid,ont_disp_on,ont_disp_off,ont_hdr_bid,ont_hdr_sch,ont_hdr_cur,exp_man_bid,exp_man_sch,exp_min_bid,exp_min_sch,exp_mic_bid,exp_mic_sch,exp_new_bid,exp_new_sch,exp_que_bid,exp_que_sch,exp_tot_bid,exp_tot_sch,exp_tot_cap,grh_tot,grh_min_10n,grh_min_10s,grh_lfu,grh_add,total_req,cap_excess,energy_excess,offered_cap_excess,res_not_sch,imp_not_sch
2022-08-16,1,,,2022-08-16T23:56:39,37466,22839,13081,2862,10622,10280,10679,1403,3869,155,7954,2491,3767,5045,3120,4943,3986,957,1011,478,478,0,0,315,87,13,13,17,0,0,0,11798,20505,14579,50,50,60,44,280,0,0,0,2088,1696,2478,1790,0,0,1593,30,24044,14039,14168,14039,61,0,513,191,-95,96,0,0,0,140,-24,183,-94,1263,-1000,1633,-1100,1573,-457,4792,-2675,0,1418,945,236,0,0,15361,8683,8800,7588,6021,688
2022-08-16,2,,,2022-08-16T23:56:39,37466,22525,13081,2862,10622,10280,10679,1403,3869,155,7954,2491,3460,5047,3119,4943,3993,949,911,478,478,0,0,315,87,13,13,17,0,0,0,11805,20500,14478,50,50,60,2,280,0,0,0,1615,1196,2005,1248,0,0,1593,30,24037,13524,13782,13524,65,0,513,191,-95,96,0,0,0,116,0,164,-75,1338,-1000,1498,-1098,1573,-457,4689,-2630,0,1418,945,236,0,0,14846,9191,9001,7496,6117,757
2022-08-16,3,,,2022-08-16T23:56:39,37466,22835,13081,2862,10622,10280,10679,1403,3339,155,7954,2491,3534,5041,3120,4943,3757,1185,911,478,478,0,0,315,87,13,13,17,0,0,0,11574,20200,14479,50,50,60,50,280,0,0,0,1515,846,1905,946,0,0,1593,30,24268,13200,13362,13200,63,0,513,191,-95,96,0,0,0,140,-24,189,-100,1330,-1000,1548,-1100,1573,-457,4780,-2681,0,1418,945,236,0,0,14522,9746,9635,7515,5815,959
2022-08-16,4,,,2022-08-16T23:56:39,37466,22690,13081,2862,10622,10280,10679,1403,3339,235,7954,2491,3525,5050,3015,4943,3893,1049,1065,478,478,0,0,315,87,13,13,17,0,0,0,11708,20073,14607,50,50,60,60,280,0,0,0,1515,712,1905,822,0,0,1593,30,24135,13202,13372,13202,66,0,513,191,-95,96,0,0,0,140,-24,208,-109,1488,-1000,1723,-1100,1673,-557,5232,-2790,0,1418,945,236,0,0,14524,9611,9488,7378,5560,1083
2022-08-16,5,,,2022-08-16T23:56:39,37466,22593,13081,2862,10622,10280,10679,1403,3498,446,7954,2491,3526,5047,3016,4943,3991,952,950,478,478,0,0,315,87,13,13,17,0,0,0,11803,20132,14704,99,50,110,60,280,0,500,0,2004,1521,2993,1631,0,0,1593,30,24040,13948,13948,13541,63,0,513,191,-95,96,0,0,0,140,-24,208,-110,1463,-1000,2008,-1100,1792,-676,5611,-2910,0,1418,945,236,0,0,15270,8770,8645,7949,5522,1362
2022-08-16,6,,,2022-08-16T23:56:39,37466,22961,13081,2862,10622,10280,10679,1403,3983,1638,7954,2491,3974,5057,3056,4943,4072,870,883,478,476,2,2,315,87,13,13,17,0,0,0,11881,20547,15871,50,50,60,60,280,0,500,0,2054,1288,2944,1398,0,0,1593,30,23961,14844,14844,14354,53,6,513,188,-92,96,0,0,0,140,-24,218,-109,1538,-1000,1997,-1100,1798,-682,5691,-2915,0,1418,945,236,0,0,16166,7795,8117,7417,4768,1546
2022-08-16,7,,,2022-08-16T23:56:39,37466,22564,13081,2862,10622,10280,10679,2125,4673,1971,7954,2064,4271,5059,3199,4943,4080,863,772,478,441,37,36,315,87,13,13,17,0,0,0,12143,21266,16271,0,0,60,60,280,0,0,0,2054,1642,2394,1702,0,0,1593,30,23699,15767,15767,15334,52,85,513,92,-92,0,0,0,0,140,-24,108,-59,1313,-1000,1463,-1100,1401,-393,4425,-2576,0,1418,945,236,0,0,17185,6514,6797,6567,5087,692
2022-08-16,8,,,2022-08-16T23:56:39,37466,22160,13081,2862,10622,10280,10679,2125,4678,2251,7954,2064,3804,5059,3218,4943,4116,827,669,478,348,131,129,315,82,18,18,17,0,0,0,12082,21334,16564,0,0,60,40,280,0,0,0,2029,1471,2369,1511,0,0,1593,30,23761,16200,16460,16200,49,292,513,92,-92,0,0,0,0,116,0,114,-65,1338,-1000,1432,-980,860,-199,3860,-2244,0,1418,945,236,0,0,17618,6143,5960,5917,4862,858
2022-08-16,9,,,2022-08-16T23:56:39,37466,22414,13081,2862,10622,10280,10679,2125,4695,2948,7954,2112,4437,5052,3229,4943,4593,350,657,478,258,220,223,315,74,26,26,17,0,0,0,12501,20964,17361,0,0,60,0,280,0,0,0,2056,1364,2396,1364,0,0,1593,30,23341,16719,16940,16719,37,502,513,98,-95,3,0,0,0,157,0,118,0,1235,-1000,1277,-1077,860,-199,3647,-2276,0,1418,945,236,0,0,18134,5207,5695,5100,3698,1032
2022-08-16,10,,,2022-08-16T23:56:39,37466,23142,13081,2847,10622,10295,10679,1403,5217,3109,7954,2112,4447,5049,3289,4943,4693,250,293,478,176,302,299,315,74,26,26,17,0,0,0,11797,21464,17311,0,0,60,0,280,0,0,0,2128,1353,2468,1353,0,0,1593,30,24045,17261,17481,17261,13,655,513,98,-95,3,0,0,0,157,0,89,0,1316,-939,1429,-615,858,-199,3849,-1753,0,1418,945,236,0,0,18676,5369,5881,5131,4249,1115
