mkt_date,mkt_he,dacp_flag,file_ver,created_at,ont_cap,ont_ene,int_nuc_cap,int_nuc_out,int_nuc_off,int_nuc_sch,int_gas_cap,int_gas_out,int_gas_off,int_gas_sch,int_hyd_cap,int_hyd_out,int_hyd_for,int_hyd_off,int_hyd_sch,int_win_cap,int_win_out,int_win_for,int_win_sch,int_sol_cap,int_sol_out,int_sol_for,int_sol_sch,int_bio_cap,int_bio_out,int_bio_off,int_bio_sch,int_oth_cap,int_oth_out,int_oth_off,int_oth_sch,int_tot_out,int_tot_off,int_tot_sch,imp_man_off,imp_man_sch,imp_min_off,imp_min_sch,imp_mic_off,imp_mic_sch,imp_new_off,imp_new_sch,imp_que_off,imp_que_sch,imp_tot_off,imp_tot_sch,imp_tot_est,imp_tot_cap,ont_bot_cap,ont_reg,ont_tot_sup,ont_for_dem,ont_peak_dem,ont_avg_dem,ont_emb_wind,ont_emb_sol,ont_disp_cap,ont_disp_bid,ont_disp_on,ont_disp_off,ont_hdr_bid,ont_hdr_sch,ont_hdr_cur,exp_man_bid,exp_man_sch,exp_min_bid,exp_min_sch,exp_mic_bid,exp_mic_sch,exp_new_bid,exp_new_sch,exp_que_bid,exp_que_sch,exp_tot_bid,exp_tot_sch,exp_tot_cap,grh_tot,grh_min_10n,grh_min_10s,grh_lfu,grh_add,total_req,cap_excess,energy_excess,offered_cap_excess,res_not_sch,imp_not_sch
2022-07-15,1,,,2022-07-15T23:56:18,37466,22896,13081,3077,10622,10185,10679,1129,4433,572,7954,1447,4065,5659,3420,4943,4600,343,308,478,478,0,0,315,87,218,59,17,0,0,0,11325,21275,14543,216,34,198,0,140,0,0,0,2040,1341,2594,1375,0,0,1302,8,24830,13669,13807,13669,15,0,513,229,-133,96,0,0,0,68,0,123,-44,1172,-1000,1507,-1000,1366,-358,4236,-2402,0,1418,945,236,0,0,14991,9839,9227,8873,6864,1219
2022-07-15,2,,,2022-07-15T23:56:18,37466,22866,13081,2953,10622,10189,10679,1129,4151,572,7954,1447,3974,5661,3422,4943,4663,280,280,478,478,0,0,315,87,218,13,17,0,0,0,11265,20932,14476,216,26,198,0,140,0,0,0,1670,537,2224,563,0,0,1302,8,24890,13117,13393,13117,10,0,513,229,-133,96,0,0,0,68,0,123,0,1249,-1000,1387,-1000,1326,-249,4153,-2249,0,1418,945,236,0,0,14439,10451,9749,8574,6589,1661
2022-07-15,3,,,2022-07-15T23:56:18,37466,22867,13081,2917,10622,10189,10679,1129,4029,574,7954,1447,3981,5661,3404,4943,4705,238,235,478,478,0,0,315,87,218,13,17,0,0,0,11271,20768,14414,216,30,198,0,140,0,0,0,1670,229,2224,259,0,0,1302,8,24884,12737,12927,12737,7,0,513,229,-133,96,0,0,0,68,0,123,0,1149,-949,1098,-782,1542,-318,3980,-2049,0,1418,945,236,0,0,14059,10825,10130,8876,6487,1965
2022-07-15,4,,,2022-07-15T23:56:18,37466,22793,13081,2917,10622,10225,10679,1129,3910,572,7954,1447,3990,5663,3403,4943,4788,155,205,478,478,0,0,315,87,13,13,17,0,0,0,11352,20363,14418,216,35,198,0,140,0,0,0,1670,141,2224,176,0,0,1302,8,24803,12667,12789,12667,5,0,513,229,-133,96,0,0,0,68,0,123,0,1149,-949,1173,-907,1483,-298,3996,-2154,0,1418,945,236,0,0,13989,10814,10126,8609,6078,2048
2022-07-15,5,,,2022-07-15T23:56:18,37466,22770,13081,2917,10622,10235,10679,1129,4179,572,7954,1447,4005,5667,3449,4943,4826,117,150,478,478,0,0,315,87,13,13,17,0,0,0,11390,20598,14419,216,64,198,0,140,0,0,0,1769,826,2323,890,0,0,1302,8,24766,13233,13233,12912,4,0,513,229,-133,96,0,0,0,68,0,123,-24,1349,-1000,1557,-1000,1483,-259,4580,-2283,0,1418,945,236,0,0,14555,10211,9537,8499,6312,1433
2022-07-15,6,,,2022-07-15T23:56:18,37466,22486,13081,2917,10622,10225,10679,1129,3902,606,7954,1447,4197,5669,3521,4943,4832,111,116,478,462,16,16,315,87,218,13,17,0,0,0,11371,20537,14497,216,42,198,0,140,0,0,0,2039,1632,2593,1674,0,0,1787,8,24299,14024,14024,13555,4,39,513,229,-133,96,0,0,0,68,0,123,0,1399,-1000,1532,-1000,1375,-367,4497,-2367,0,1418,945,236,0,0,15346,8953,8462,7916,6172,919
2022-07-15,7,,,2022-07-15T23:56:18,37466,21613,13081,2917,10622,10225,10679,2179,4246,964,7954,1447,4281,5666,3921,4943,4801,141,97,478,406,72,72,315,80,225,50,17,0,0,0,12308,20971,15328,116,0,198,0,140,0,0,0,2089,1644,2543,1644,0,0,1787,8,23362,14886,14886,14493,3,176,513,130,-130,0,0,0,0,68,0,123,0,1424,-1000,1108,-997,1365,-249,4088,-2246,0,1418,945,236,0,0,16304,7058,6727,7340,5773,899
2022-07-15,8,,,2022-07-15T23:56:18,37466,21629,13081,2917,10622,10225,10679,2179,4467,1034,7954,1447,4202,5959,4102,4943,4816,126,115,478,303,175,174,315,74,231,72,17,0,0,0,12216,21580,15722,116,0,198,0,140,0,0,0,2219,1372,2673,1372,0,0,1787,8,23455,15612,15612,15280,4,391,513,59,-59,0,0,0,0,68,0,223,0,1254,-1000,1119,-658,752,-136,3416,-1794,0,1418,945,236,0,0,17030,6425,6017,7282,5918,1301
2022-07-15,9,,,2022-07-15T23:56:18,37466,22168,13081,2917,10622,10225,10679,2179,4465,1263,7954,1447,4665,5967,4221,4943,4838,105,123,478,205,273,286,315,74,231,72,17,0,0,0,12141,21662,16189,140,24,198,0,140,0,0,0,2169,1195,2647,1219,0,0,1787,8,23530,16044,16237,16044,3,618,513,60,-60,0,0,0,0,68,0,223,-43,1304,-1000,885,-496,752,-136,3232,-1675,0,1418,945,236,0,0,17462,6068,6124,6714,5533,1428
2022-07-15,10,,,2022-07-15T23:56:18,37466,22232,13081,2917,10622,10225,10679,2179,4451,1818,7954,1447,4715,5964,4218,4943,4918,25,25,478,111,367,353,315,74,231,72,17,0,0,0,12127,21659,16709,140,24,198,0,140,0,0,0,2185,1510,2663,1534,0,0,1787,8,23543,16430,16625,16430,3,798,513,64,-61,3,0,0,0,68,0,223,-123,1404,-1000,980,-859,752,-136,3427,-2118,0,1418,945,236,0,0,17845,5698,5802,6343,5011,1129
