mkt_date,mkt_he,dacp_flag,file_ver,created_at,ont_cap,ont_ene,int_nuc_cap,int_nuc_out,int_nuc_off,int_nuc_sch,int_gas_cap,int_gas_out,int_gas_off,int_gas_sch,int_hyd_cap,int_hyd_out,int_hyd_for,int_hyd_off,int_hyd_sch,int_win_cap,int_win_out,int_win_for,int_win_sch,int_sol_cap,int_sol_out,int_sol_for,int_sol_sch,int_bio_cap,int_bio_out,int_bio_off,int_bio_sch,int_oth_cap,int_oth_out,int_oth_off,int_oth_sch,int_tot_out,int_tot_off,int_tot_sch,imp_man_off,imp_man_sch,imp_min_off,imp_min_sch,imp_mic_off,imp_mic_sch,imp_new_off,imp_new_sch,imp_que_off,imp_que_sch,imp_tot_off,imp_tot_sch,imp_tot_est,imp_tot_cap,ont_bot_cap,ont_reg,ont_tot_sup,ont_for_dem,ont_peak_dem,ont_avg_dem,ont_emb_wind,ont_emb_sol,ont_disp_cap,ont_disp_bid,ont_disp_on,ont_disp_off,ont_hdr_bid,ont_hdr_sch,ont_hdr_cur,exp_man_bid,exp_man_sch,exp_min_bid,exp_min_sch,exp_mic_bid,exp_mic_sch,exp_new_bid,exp_new_sch,exp_que_bid,exp_que_sch,exp_tot_bid,exp_tot_sch,exp_tot_cap,grh_tot,grh_min_10n,grh_min_10s,grh_lfu,grh_add,total_req,cap_excess,energy_excess,offered_cap_excess,res_not_sch,imp_not_sch
2022-06-08,1,,,2022-06-08T23:55:26,37250,23368,13081,3445,9807,9646,10679,1762,3454,161,7737,1686,5163,5990,4226,4943,4188,755,710,478,478,0,0,315,303,12,12,17,0,0,0,12346,20018,14754,158,40,104,0,140,0,0,0,1700,94,2102,134,0,0,1031,100,23772,12088,12150,12088,47,0,513,325,-229,96,0,0,0,324,-140,244,-100,1443,-1000,862,-500,1886,-1208,4759,-2948,0,1418,945,236,0,0,13410,10362,11280,8876,5492,1968
2022-06-08,2,,,2022-06-08T23:55:26,37250,23160,13081,3445,9807,9661,10679,1762,3335,159,7737,975,5072,5987,4046,4943,4304,639,767,478,478,0,0,315,303,12,12,17,0,0,0,11764,19780,14645,216,26,128,0,140,0,0,0,1700,94,2184,120,0,0,1031,100,24354,11841,11965,11841,46,0,513,325,-259,66,0,0,0,310,-126,219,-100,1713,-1000,865,-500,1986,-1239,5093,-2965,0,1418,945,236,0,0,13193,11161,11319,8905,5393,2064
2022-06-08,3,,,2022-06-08T23:55:26,37250,23155,13081,3445,9807,9661,10679,1762,3450,273,7737,975,4955,5989,3851,4943,4192,751,679,478,478,0,0,315,303,12,12,17,0,0,0,11654,20009,14475,216,62,128,0,140,0,0,0,1700,94,2184,156,0,0,1031,100,24464,11762,11825,11762,46,0,513,325,-259,66,0,0,0,261,-162,219,-100,1713,-1000,966,-500,2125,-1248,5284,-3010,0,1418,945,236,0,0,13114,11350,11393,9274,5792,2028
2022-06-08,4,,,2022-06-08T23:55:26,37250,23131,13081,3445,9807,9661,10679,1762,3545,274,7737,975,5029,5991,3826,4943,4290,653,772,478,478,0,0,315,303,12,12,17,0,0,0,11750,20007,14544,216,0,128,0,140,0,0,0,1700,94,2184,94,0,0,1031,100,24368,11888,12070,11888,44,0,513,324,-258,66,0,0,0,176,-77,219,-100,1523,-1000,916,-500,1937,-1248,4771,-2925,0,1418,945,236,0,0,13240,11128,11243,9028,5721,2090
2022-06-08,5,,,2022-06-08T23:55:26,37250,23110,13081,3445,9807,9661,10679,1762,4139,374,7737,975,5056,5989,4779,4943,4339,604,612,478,477,1,0,315,303,12,12,17,0,0,0,11797,20551,15438,216,0,128,0,140,0,0,0,1700,94,2184,94,0,0,1031,100,24321,12697,12697,12251,43,2,513,324,-228,96,0,0,0,176,-77,219,-100,1523,-1000,916,-500,1857,-1243,4691,-2920,0,1418,945,236,0,0,14019,10302,10413,8944,5342,2090
2022-06-08,6,,,2022-06-08T23:55:26,37250,23228,13081,3445,9807,9661,10679,1762,3852,374,7737,988,5239,6206,4846,4943,4424,519,565,478,458,21,20,315,303,12,12,17,0,0,0,11874,20415,15478,116,0,128,0,140,0,0,0,1700,94,2084,94,0,0,1031,100,24244,13697,13697,13143,41,43,513,291,-195,96,0,0,0,261,-100,219,-100,1468,-1000,868,-500,1410,-510,4226,-2210,0,1418,945,236,0,0,15019,9225,9531,7675,5132,1990
2022-06-08,7,,,2022-06-08T23:55:26,37250,22213,13081,3445,9807,9661,10679,2782,4399,399,7737,988,5339,6228,5210,4943,4575,368,443,478,401,77,74,315,303,12,12,17,0,0,0,12966,20891,15798,58,0,104,0,140,0,0,0,1700,94,2002,94,0,0,1031,100,23152,14251,14462,14251,38,169,513,193,-193,0,0,0,0,245,-100,244,-100,1433,-1000,682,-500,1211,-165,3815,-1865,0,1418,945,236,0,0,15669,7483,7962,7206,5286,1908
2022-06-08,8,,,2022-06-08T23:55:26,37250,22460,13081,3445,9807,9661,10679,2782,4536,575,7737,1004,5545,6361,5293,4943,4620,323,303,478,316,163,196,315,303,12,12,17,0,0,0,12942,21201,16039,58,0,104,0,140,0,0,0,1700,94,2002,94,0,0,1031,100,23176,14673,14725,14673,25,363,513,193,-193,0,0,0,0,160,-61,244,-100,1453,-1000,642,-500,910,-103,3409,-1764,0,1418,945,236,0,0,16091,7085,7787,7253,5355,1908
2022-06-08,9,,,2022-06-08T23:55:26,37250,22922,13081,3445,9807,9661,10679,2782,4610,607,7737,1062,6050,6365,5378,4943,4804,139,268,478,175,304,298,315,303,12,12,17,0,0,0,13041,21236,16223,58,0,204,0,140,0,0,0,1600,94,2002,94,0,0,1031,100,23077,14777,14855,14777,10,582,513,193,-193,0,0,0,0,262,-61,169,-100,1573,-1000,674,-500,910,-269,3588,-1930,0,1418,945,236,0,0,16195,6882,8145,7158,5206,1908
2022-06-08,10,,,2022-06-08T23:55:26,37250,22949,13081,3455,9807,9661,10679,2782,5131,607,7737,1054,6049,6361,5390,4943,4843,100,100,478,98,380,381,315,303,12,12,17,0,0,0,13006,21791,16151,58,0,154,0,280,0,0,0,1600,126,2092,126,0,0,1031,100,23112,14782,14829,14782,10,775,513,194,-193,1,0,0,0,310,-20,169,-84,1473,-1000,773,-500,710,-96,3435,-1700,0,1418,945,236,0,0,16199,6913,8167,7830,5833,1966
