mkt_date,mkt_he,dacp_flag,file_ver,created_at,ont_cap,ont_ene,int_nuc_cap,int_nuc_out,int_nuc_off,int_nuc_sch,int_gas_cap,int_gas_out,int_gas_off,int_gas_sch,int_hyd_cap,int_hyd_out,int_hyd_for,int_hyd_off,int_hyd_sch,int_win_cap,int_win_out,int_win_for,int_win_sch,int_sol_cap,int_sol_out,int_sol_for,int_sol_sch,int_bio_cap,int_bio_out,int_bio_off,int_bio_sch,int_oth_cap,int_oth_out,int_oth_off,int_oth_sch,int_tot_out,int_tot_off,int_tot_sch,imp_man_off,imp_man_sch,imp_min_off,imp_min_sch,imp_mic_off,imp_mic_sch,imp_new_off,imp_new_sch,imp_que_off,imp_que_sch,imp_tot_off,imp_tot_sch,imp_tot_est,imp_tot_cap,ont_bot_cap,ont_reg,ont_tot_sup,ont_for_dem,ont_peak_dem,ont_avg_dem,ont_emb_wind,ont_emb_sol,ont_disp_cap,ont_disp_bid,ont_disp_on,ont_disp_off,ont_hdr_bid,ont_hdr_sch,ont_hdr_cur,exp_man_bid,exp_man_sch,exp_min_bid,exp_min_sch,exp_mic_bid,exp_mic_sch,exp_new_bid,exp_new_sch,exp_que_bid,exp_que_sch,exp_tot_bid,exp_tot_sch,exp_tot_cap,grh_tot,grh_min_10n,grh_min_10s,grh_lfu,grh_add,total_req,cap_excess,energy_excess,offered_cap_excess,res_not_sch,imp_not_sch
2022-06-25,1,,,2022-06-25T23:55:38,37394,21116,13081,4291,10637,8815,10679,2099,4885,1094,7882,1500,4133,5827,3851,4943,4168,775,758,478,478,0,0,315,123,192,12,17,0,0,0,13127,22316,14531,158,100,104,0,0,0,0,0,2152,1477,2414,1577,0,0,1269,100,22898,14395,14578,14395,46,0,513,294,-227,67,0,0,0,0,0,104,0,1313,-1000,1152,-919,1349,-128,3918,-2047,0,1418,945,236,0,0,15746,7152,6721,9027,8012,837
2022-06-25,2,,,2022-06-25T23:55:38,37394,21037,13081,4291,9747,8815,10679,2099,4599,764,7882,1500,4023,5827,3836,4943,4137,806,730,478,478,0,0,315,123,192,2,17,0,0,0,13096,21171,14146,174,167,80,0,0,0,0,0,2152,1163,2406,1330,0,0,1269,100,22929,13663,14029,13663,47,0,513,294,-227,67,0,0,0,0,0,104,0,1294,-1000,1164,-948,1328,-214,3890,-2162,0,1418,945,236,0,0,15014,7915,7374,8424,7251,1076
2022-06-25,3,,,2022-06-25T23:55:38,37394,20951,13081,4291,9747,8815,10679,2099,4015,972,7882,1500,4023,5826,3834,4943,4223,720,766,478,478,0,0,315,123,192,2,17,0,0,0,13180,20499,14387,174,167,80,0,0,0,0,0,2152,375,2406,542,0,0,1269,100,22844,13184,13424,13184,36,0,513,294,-227,67,0,0,0,0,0,104,0,1213,-934,1077,-871,1437,-215,3831,-2020,0,1418,945,236,0,0,14535,8309,7767,8357,6339,1864
2022-06-25,4,,,2022-06-25T23:55:38,37394,20844,13081,4291,9747,8815,10679,2099,3846,900,7882,1500,4038,5826,3833,4943,4345,598,682,478,478,0,0,315,123,192,2,17,0,0,0,13300,20208,14232,232,172,104,0,0,0,0,0,2152,536,2488,708,0,0,1269,100,22725,12944,13064,12944,31,0,513,294,-227,67,0,0,0,0,0,104,0,1339,-958,1059,-893,1436,-322,3938,-2173,0,1418,945,236,0,0,14295,8430,7900,8508,6203,1780
2022-06-25,5,,,2022-06-25T23:55:38,37394,20858,13081,4291,9747,8815,10679,2099,3813,960,7882,1500,4099,5828,3933,4943,4392,550,548,478,477,1,1,315,123,192,2,17,0,0,0,13346,20130,14258,232,174,104,0,0,0,0,0,2152,553,2488,727,0,0,1269,100,22679,12952,13107,12952,40,3,513,294,-227,67,0,0,0,24,-24,104,0,1339,-978,1182,-1000,1437,-323,4086,-2325,0,1418,945,236,0,0,14303,8376,7906,8387,6099,1761
2022-06-25,6,,,2022-06-25T23:55:38,37394,21307,13081,4291,9747,8815,10679,2099,3822,1277,7882,1500,4531,5829,3934,4943,4392,550,548,478,461,17,17,315,123,192,2,17,0,0,0,13330,20157,14592,108,50,104,0,0,0,0,0,2152,806,2364,856,0,0,1269,100,22695,13531,13531,13198,39,60,513,294,-227,67,0,0,0,0,0,104,0,1204,-1000,1184,-1000,1328,-214,3820,-2214,0,1418,945,236,0,0,14882,7813,7776,7865,5791,1508
2022-06-25,7,,,2022-06-25T23:55:38,37394,21513,13081,4291,9747,8815,10679,2099,3887,1493,7882,1500,4710,5826,4071,4943,4425,518,486,478,401,77,74,315,123,192,2,17,0,0,0,13303,20246,14940,58,0,104,0,0,0,0,0,2067,1012,2229,1012,0,0,1269,100,22722,14386,14386,13864,34,202,513,291,-224,67,0,0,0,0,0,104,0,1264,-1000,989,-831,1136,-21,3493,-1852,0,1418,945,236,0,0,15737,6985,7127,6962,5530,1217
2022-06-25,8,,,2022-06-25T23:55:38,37394,21317,13081,4291,9747,8815,10679,2099,4104,1752,7882,1500,4585,5844,4051,4943,4436,507,417,478,305,173,184,315,123,12,2,17,0,0,0,13217,20386,15220,58,0,104,5,0,0,0,0,2067,1340,2229,1345,0,0,1425,100,22652,15342,15342,14907,28,381,513,291,-224,67,0,0,0,0,0,104,-5,1244,-999,720,-450,1135,-20,3203,-1474,0,1418,945,236,0,0,16693,5959,5975,6146,5390,884
2022-06-25,9,,,2022-06-25T23:55:38,37394,21898,13081,4291,9747,8815,10679,2099,4285,2503,7882,1499,5348,5899,4066,4943,4743,200,199,478,180,298,292,315,123,12,2,17,0,0,0,13394,20440,15876,58,0,104,6,0,0,0,0,2152,1812,2314,1818,0,0,1425,100,22475,16241,16241,15777,12,650,513,292,-225,67,0,0,0,0,0,153,-6,1589,-1000,794,-584,1220,-48,3756,-1638,0,1418,945,236,0,0,17592,4883,5657,5387,4789,496
2022-06-25,10,,,2022-06-25T23:55:38,37394,21792,13081,4291,9747,8815,10679,2195,4723,3419,7882,1499,5346,5902,4084,4943,4843,100,100,478,88,390,378,315,123,12,2,17,0,0,0,13496,20873,16797,62,0,104,4,0,0,0,0,2098,1804,2264,1808,0,0,1425,100,22373,17573,17573,17170,8,827,513,291,-224,67,0,0,0,0,0,153,-4,1619,-1000,858,-263,1135,-19,3765,-1286,0,1418,945,236,0,0,18924,3449,4219,4437,4301,456
