mkt_date,mkt_he,dacp_flag,file_ver,created_at,ont_cap,ont_ene,int_nuc_cap,int_nuc_out,int_nuc_off,int_nuc_sch,int_gas_cap,int_gas_out,int_gas_off,int_gas_sch,int_hyd_cap,int_hyd_out,int_hyd_for,int_hyd_off,int_hyd_sch,int_win_cap,int_win_out,int_win_for,int_win_sch,int_sol_cap,int_sol_out,int_sol_for,int_sol_sch,int_bio_cap,int_bio_out,int_bio_off,int_bio_sch,int_oth_cap,int_oth_out,int_oth_off,int_oth_sch,int_tot_out,int_tot_off,int_tot_sch,imp_man_off,imp_man_sch,imp_min_off,imp_min_sch,imp_mic_off,imp_mic_sch,imp_new_off,imp_new_sch,imp_que_off,imp_que_sch,imp_tot_off,imp_tot_sch,imp_tot_est,imp_tot_cap,ont_bot_cap,ont_reg,ont_tot_sup,ont_for_dem,ont_peak_dem,ont_avg_dem,ont_emb_wind,ont_emb_sol,ont_disp_cap,ont_disp_bid,ont_disp_on,ont_disp_off,ont_hdr_bid,ont_hdr_sch,ont_hdr_cur,exp_man_bid,exp_man_sch,exp_min_bid,exp_min_sch,exp_mic_bid,exp_mic_sch,exp_new_bid,exp_new_sch,exp_que_bid,exp_que_sch,exp_tot_bid,exp_tot_sch,exp_tot_cap,grh_tot,grh_min_10n,grh_min_10s,grh_lfu,grh_add,total_req,cap_excess,energy_excess,offered_cap_excess,res_not_sch,imp_not_sch
2022-08-12,1,,,2022-08-12T23:56:47,37466,23847,13081,2760,10622,10315,10679,1129,3871,126,7954,2467,3872,5101,3396,4943,3459,1484,1335,478,478,0,0,315,87,218,13,17,0,0,0,10889,21295,15184,126,101,70,0,140,0,0,0,2006,9,2342,110,0,0,1524,100,24952,13303,13413,13303,86,0,513,238,-135,103,0,0,0,116,0,153,-74,1304,-1000,1194,-600,2202,-743,4969,-2417,0,1418,945,236,0,0,14618,10334,10544,9044,6246,2232
2022-08-12,2,,,2022-08-12T23:56:47,37466,23166,13081,2750,10622,10315,10679,1129,3338,126,7954,2467,3504,5111,3397,4943,3781,1162,1387,478,478,0,0,315,87,13,13,17,0,0,0,11196,20245,15238,126,100,70,0,140,0,0,0,2006,9,2342,109,0,0,1524,100,24646,12861,13082,12861,85,0,513,237,-134,103,0,0,0,116,0,153,-74,1475,-1000,1149,-600,2248,-1228,5141,-2902,0,1418,945,236,0,0,14176,10470,10305,8324,5141,2233
2022-08-12,3,,,2022-08-12T23:56:47,37466,23110,13081,2740,10622,10325,10679,1129,3339,126,7954,2467,3475,5110,3395,4943,3818,1124,1064,478,478,0,0,315,87,13,13,17,0,0,0,11222,20208,14923,126,37,70,0,140,0,0,0,2006,9,2342,46,0,0,1524,100,24619,12558,12710,12558,73,0,513,236,-133,103,0,0,0,116,0,165,-130,1400,-1000,1178,-600,1837,-1164,4696,-2894,0,1418,945,236,0,0,13873,10746,10552,8658,5418,2296
2022-08-12,4,,,2022-08-12T23:56:47,37466,23045,13081,2730,10622,10335,10679,1129,3340,126,7954,2469,3592,5110,3395,4943,4010,933,1055,478,478,0,0,315,87,13,13,17,0,0,0,11402,20018,14923,126,0,70,0,140,0,0,0,2006,9,2342,9,0,0,1524,100,24439,12532,12731,12532,57,0,513,234,-131,103,0,0,0,116,0,155,-54,1380,-1000,1153,-600,1921,-1236,4725,-2890,0,1418,945,236,0,0,13847,10592,10513,8445,5225,2333
2022-08-12,5,,,2022-08-12T23:56:47,37466,23004,13081,2730,10622,10345,10679,1129,3341,196,7954,2469,3611,5111,3348,4943,4070,873,866,478,478,0,0,315,87,13,13,17,0,0,0,11461,19959,14768,126,126,6,0,140,0,0,0,2006,111,2278,237,0,0,1524,100,24380,13302,13302,12930,56,0,513,234,-131,103,0,0,0,116,0,155,-100,1550,-1000,1293,-600,1859,-545,4973,-2245,0,1418,945,236,0,0,14617,9763,9702,7751,5323,2041
2022-08-12,6,,,2022-08-12T23:56:47,37466,23028,13081,2707,10622,10345,10679,1129,3346,362,7954,2494,3931,5106,3625,4943,4393,550,550,478,475,3,3,315,87,13,13,17,0,0,0,11777,19639,14897,126,100,70,0,140,0,0,0,2133,934,2469,1034,0,0,1524,100,24065,14170,14170,13774,43,9,513,194,-91,103,0,0,0,116,0,157,-74,1500,-1000,1310,-600,1480,-472,4563,-2146,0,1418,945,236,0,0,15485,8580,8858,6714,4832,1435
2022-08-12,7,,,2022-08-12T23:56:47,37466,23202,13081,2707,10622,10435,10679,1162,3345,266,7954,2023,4192,5126,3227,4943,4493,450,428,478,429,49,46,315,87,13,13,17,0,0,0,11400,19604,14415,126,70,70,0,140,0,0,0,2135,1632,2471,1702,0,0,1524,100,24441,14566,14854,14566,47,116,513,91,-91,0,0,0,0,116,0,153,-45,1450,-1000,1203,-600,1369,-361,4291,-2006,0,1418,945,236,0,0,15984,8457,8636,5894,5280,769
2022-08-12,8,,,2022-08-12T23:56:47,37466,23110,13081,2707,10622,10435,10679,1129,3506,814,7954,2097,3710,5123,3557,4943,4256,687,389,478,314,164,154,315,82,18,18,17,0,0,0,11090,20120,15367,126,24,70,0,140,0,0,0,2135,1214,2471,1238,0,0,1524,100,24751,15142,15327,15142,30,355,513,91,-91,0,0,0,0,116,0,128,0,1255,-1000,1061,-600,814,-306,3374,-1906,0,1418,945,236,0,0,16560,8191,7968,5937,4844,1233
2022-08-12,9,,,2022-08-12T23:56:47,37466,23269,13081,2707,10622,10435,10679,1129,3859,736,7954,2130,3989,5413,3725,4943,4525,418,543,478,172,306,280,315,74,26,26,17,0,0,0,11240,20643,15745,50,24,70,0,140,0,0,0,2132,1101,2392,1125,0,0,1524,100,24602,15511,15653,15511,18,601,513,97,-94,3,0,0,0,116,0,128,0,1292,-1000,1118,-600,773,-267,3427,-1867,0,1418,945,236,0,0,16926,7676,7758,6061,4992,1267
2022-08-12,10,,,2022-08-12T23:56:47,37466,23114,13081,2712,10622,10435,10679,1129,3629,886,7954,2041,4022,5350,3705,4943,4793,150,145,478,88,390,358,315,74,26,26,17,0,0,0,11337,20166,15554,50,50,70,0,280,0,0,0,2285,1748,2685,1798,0,0,1524,100,24504,15884,15993,15884,9,815,513,97,-94,3,0,0,0,116,0,128,-26,1285,-1000,1106,-600,801,-295,3436,-1921,0,1418,945,236,0,0,17299,7205,7230,5537,4707,887
