mkt_date,mkt_he,dacp_flag,file_ver,created_at,ont_cap,ont_ene,int_nuc_cap,int_nuc_out,int_nuc_off,int_nuc_sch,int_gas_cap,int_gas_out,int_gas_off,int_gas_sch,int_hyd_cap,int_hyd_out,int_hyd_for,int_hyd_off,int_hyd_sch,int_win_cap,int_win_out,int_win_for,int_win_sch,int_sol_cap,int_sol_out,int_sol_for,int_sol_sch,int_bio_cap,int_bio_out,int_bio_off,int_bio_sch,int_oth_cap,int_oth_out,int_oth_off,int_oth_sch,int_tot_out,int_tot_off,int_tot_sch,imp_man_off,imp_man_sch,imp_min_off,imp_min_sch,imp_mic_off,imp_mic_sch,imp_new_off,imp_new_sch,imp_que_off,imp_que_sch,imp_tot_off,imp_tot_sch,imp_tot_est,imp_tot_cap,ont_bot_cap,ont_reg,ont_tot_sup,ont_for_dem,ont_peak_dem,ont_avg_dem,ont_emb_wind,ont_emb_sol,ont_disp_cap,ont_disp_bid,ont_disp_on,ont_disp_off,ont_hdr_bid,ont_hdr_sch,ont_hdr_cur,exp_man_bid,exp_man_sch,exp_min_bid,exp_min_sch,exp_mic_bid,exp_mic_sch,exp_new_bid,exp_new_sch,exp_que_bid,exp_que_sch,exp_tot_bid,exp_tot_sch,exp_tot_cap,grh_tot,grh_min_10n,grh_min_10s,grh_lfu,grh_add,total_req,cap_excess,energy_excess,offered_cap_excess,res_not_sch,imp_not_sch
2022-06-06,1,,,2022-06-06T23:55:16,37250,24412,13081,3495,9807,9611,10679,1682,3277,130,7737,1179,5446,6104,3746,4943,3453,1490,1397,478,478,0,0,315,302,13,12,17,0,0,0,11099,20690,14896,184,22,80,0,280,0,300,0,1739,9,2583,31,0,0,1036,100,25014,12010,12073,12010,59,0,513,263,-263,0,0,0,0,327,-112,211,-90,1538,-1000,1015,-500,1943,-1278,5034,-2980,0,1418,945,236,0,0,13428,11586,12402,10045,6057,2552
2022-06-06,2,,,2022-06-06T23:55:16,37250,24382,13081,3495,9807,9611,10679,1682,3560,130,7737,1087,5388,6107,3730,4943,3426,1517,1119,478,478,0,0,315,302,13,11,17,0,0,0,10983,21003,14601,184,32,80,0,280,0,300,0,1739,9,2583,41,0,0,1036,100,25130,11610,11810,11610,64,0,513,263,-263,0,0,0,0,211,-122,211,-90,1518,-1000,1018,-500,1922,-1278,4880,-2990,0,1418,945,236,0,0,13028,12102,12772,10621,6665,2542
2022-06-06,3,,,2022-06-06T23:55:16,37250,24350,13081,3495,9807,9611,10679,1682,3560,130,7737,974,5415,6105,3732,4943,3484,1458,957,478,478,0,0,315,302,13,11,17,0,0,0,10929,20942,14440,147,50,80,0,280,0,0,0,1739,9,2246,59,0,0,1036,100,25184,11471,11541,11471,64,0,513,263,-263,0,0,0,0,354,-140,211,-90,1518,-1000,915,-500,1943,-1278,4941,-3008,0,1418,945,236,0,0,12889,12295,12879,10492,6765,2187
2022-06-06,4,,,2022-06-06T23:55:16,37250,24433,13081,3495,9807,9611,10679,1682,3560,130,7737,974,5417,6105,3724,4943,3403,1540,1095,478,478,0,0,315,302,13,11,17,0,0,0,10850,21024,14570,50,50,80,0,280,0,0,0,1606,9,2016,59,0,0,1036,100,25264,11540,11787,11540,71,0,513,263,-263,0,0,0,0,336,-140,136,-90,1418,-1000,891,-500,1874,-1260,4655,-2990,0,1418,945,236,0,0,12958,12306,12893,10097,6716,1957
2022-06-06,5,,,2022-06-06T23:55:16,37250,24646,13081,3495,9807,9611,10679,1682,3558,134,7737,974,5416,6105,3944,4943,3189,1754,1679,478,478,0,0,315,302,13,13,17,0,0,0,10640,21236,15380,50,50,80,0,280,0,300,0,1606,9,2316,59,0,0,1036,100,25473,12402,12402,11883,72,2,513,262,-261,1,0,0,0,266,-140,136,-90,1418,-1000,866,-500,1835,-1221,4521,-2951,0,1418,945,236,0,0,13819,11654,12244,9995,6117,2257
2022-06-06,6,,,2022-06-06T23:55:16,37250,24730,13081,3495,9807,9611,10679,1701,3437,301,7737,974,5417,6115,4727,4943,3099,1844,1851,478,465,13,13,315,302,13,13,17,0,0,0,10559,21228,16516,0,0,80,0,280,0,300,0,1606,9,2266,9,0,0,1036,100,25555,13580,13580,12920,78,33,513,262,-261,1,0,0,0,360,-90,136,-90,1418,-1000,1017,-500,1894,-1278,4825,-2958,0,1418,945,236,0,0,14997,10558,11150,8758,4973,2257
2022-06-06,7,,,2022-06-06T23:55:16,37250,25229,13081,3495,9807,9611,10679,1701,3572,302,7737,1002,5713,6141,5207,4943,2937,2006,1880,478,424,54,49,315,302,13,13,17,0,0,0,10387,21593,17061,0,0,80,0,280,0,300,0,1606,9,2266,9,0,0,1036,100,25727,14585,14585,14239,90,124,513,226,-226,0,0,0,0,358,-90,136,-90,1478,-1000,943,-500,1890,-811,4805,-2491,0,1418,945,236,0,0,16003,9724,10644,8082,4757,2257
2022-06-06,8,,,2022-06-06T23:55:16,37250,24978,13081,3495,9807,9611,10679,1701,4033,460,7737,1002,5718,6158,5185,4943,3243,1700,1958,478,374,104,132,315,302,13,13,17,0,0,0,10638,21814,17359,0,0,80,0,280,0,300,0,1606,9,2266,9,0,0,1036,100,25476,14931,15153,14931,95,246,513,226,-226,0,0,0,0,354,-90,136,-90,1528,-1000,802,-500,1437,-823,4257,-2503,0,1418,945,236,0,0,16349,9127,10047,7735,4681,2257
2022-06-06,9,,,2022-06-06T23:55:16,37250,25377,13081,3495,9807,9611,10679,1701,4028,460,7737,1002,6082,6377,5325,4943,3293,1650,1630,478,290,188,184,315,302,13,13,17,0,0,0,10604,22062,17222,0,0,80,0,280,0,300,0,1630,9,2290,9,0,0,1036,100,25509,15425,15542,15425,90,384,513,227,-227,0,0,0,0,205,-76,136,-29,1478,-1000,705,-500,1428,-462,3952,-2067,0,1418,945,236,0,0,16843,8666,9952,7619,5068,2281
2022-06-06,10,,,2022-06-06T23:55:16,37250,25415,13081,3495,9807,9611,10679,1701,4025,500,7737,996,6059,6381,5426,4943,3243,1700,1679,478,279,199,217,315,302,13,13,17,0,0,0,10539,22125,17445,0,0,80,0,280,0,0,0,1630,124,1990,124,0,0,1036,100,25574,15458,15591,15458,86,445,513,193,-193,0,0,0,0,204,-72,140,0,1478,-1000,703,-500,1628,-858,4153,-2430,0,1418,945,236,0,0,16876,8698,9957,7299,4873,1866
