mkt_date,mkt_he,dacp_flag,file_ver,created_at,ont_cap,ont_ene,int_nuc_cap,int_nuc_out,int_nuc_off,int_nuc_sch,int_gas_cap,int_gas_out,int_gas_off,int_gas_sch,int_hyd_cap,int_hyd_out,int_hyd_for,int_hyd_off,int_hyd_sch,int_win_cap,int_win_out,int_win_for,int_win_sch,int_sol_cap,int_sol_out,int_sol_for,int_sol_sch,int_bio_cap,int_bio_out,int_bio_off,int_bio_sch,int_oth_cap,int_oth_out,int_oth_off,int_oth_sch,int_tot_out,int_tot_off,int_tot_sch,imp_man_off,imp_man_sch,imp_min_off,imp_min_sch,imp_mic_off,imp_mic_sch,imp_new_off,imp_new_sch,imp_que_off,imp_que_sch,imp_tot_off,imp_tot_sch,imp_tot_est,imp_tot_cap,ont_bot_cap,ont_reg,ont_tot_sup,ont_for_dem,ont_peak_dem,ont_avg_dem,ont_emb_wind,ont_emb_sol,ont_disp_cap,ont_disp_bid,ont_disp_on,ont_disp_off,ont_hdr_bid,ont_hdr_sch,ont_hdr_cur,exp_man_bid,exp_man_sch,exp_min_bid,exp_min_sch,exp_mic_bid,exp_mic_sch,exp_new_bid,exp_new_sch,exp_que_bid,exp_que_sch,exp_tot_bid,exp_tot_sch,exp_tot_cap,grh_tot,grh_min_10n,grh_min_10s,grh_lfu,grh_add,total_req,cap_excess,energy_excess,offered_cap_excess,res_not_sch,imp_not_sch
2022-07-13,1,,,2022-07-13T23:56:07,37394,22010,13081,3592,10622,9410,10679,1129,3860,1698,7882,1646,3952,5420,3498,4943,4611,331,201,478,478,0,0,315,88,12,12,17,0,0,0,12031,20245,14818,124,0,202,0,144,0,0,0,1644,1358,2114,1358,0,0,1455,100,23808,14079,14212,14079,18,0,513,244,-133,111,0,0,0,79,-11,88,-10,1408,-1000,1478,-1000,1394,-278,4447,-2299,0,1418,945,236,0,0,15386,8422,7931,6973,5560,756
2022-07-13,2,,,2022-07-13T23:56:07,37394,21836,13081,3592,10622,9410,10679,1129,3861,1127,7882,1646,3779,5418,3304,4943,4612,330,354,478,478,0,0,315,88,12,12,17,0,0,0,12032,20243,14207,124,0,202,0,144,0,0,0,1644,1358,2114,1358,0,0,1455,100,23807,13696,13888,13696,17,0,513,244,-133,111,0,0,0,68,0,88,0,1603,-1000,1328,-913,1355,-239,4442,-2152,0,1418,945,236,0,0,15003,8804,8140,7294,6168,756
2022-07-13,3,,,2022-07-13T23:56:07,37394,21832,13081,3602,10622,9410,10679,1129,3861,955,7882,1646,3779,5427,3303,4943,4607,336,355,478,478,0,0,315,88,12,12,17,0,0,0,12036,20258,14034,120,0,198,0,144,0,0,0,1644,1349,2106,1349,0,0,1455,100,23803,13320,13508,13320,19,0,513,241,-130,111,0,0,0,68,0,88,0,1403,-1000,1328,-1000,1355,-239,4242,-2239,0,1418,945,236,0,0,14627,9176,8512,7678,6353,757
2022-07-13,4,,,2022-07-13T23:56:07,37394,21851,13081,3602,10622,9410,10679,1129,3863,945,7882,1646,3778,5431,3307,4943,4587,356,383,478,478,0,0,315,88,12,12,17,0,0,0,12017,20284,14056,120,0,198,0,144,0,0,0,1644,1048,2106,1048,0,0,1455,100,23822,13026,13173,13026,17,0,513,241,-130,111,0,0,0,28,0,88,0,1453,-1000,1428,-1000,1355,-239,4352,-2239,0,1418,945,236,0,0,14333,9489,8825,8040,6357,1058
2022-07-13,5,,,2022-07-13T23:56:07,37394,21822,13081,3602,10622,9400,10679,1129,3849,1340,7882,1646,3802,5424,3306,4943,4580,363,377,478,478,0,0,315,63,12,12,17,0,0,0,11984,20269,14435,120,0,198,0,144,0,0,0,2014,1015,2476,1015,0,0,1540,100,23770,13566,13566,13252,19,0,513,241,-130,111,0,0,0,28,0,88,0,1473,-1000,1403,-1000,1252,-136,4244,-2136,0,1418,945,236,0,0,14873,8897,8256,8001,5964,1461
2022-07-13,6,,,2022-07-13T23:56:07,37394,21853,13081,3602,10622,9400,10679,1129,3854,1687,7882,1646,3945,5435,3400,4943,4716,227,227,478,462,17,16,315,55,20,20,17,0,0,0,12093,20174,14750,120,0,198,0,144,0,0,0,2076,1725,2538,1725,0,0,1540,100,23661,14533,14533,13980,15,40,513,241,-130,111,0,0,0,28,0,88,-10,1485,-1000,1513,-1000,1252,-136,4366,-2146,0,1418,945,236,0,0,15840,7821,7320,7002,5554,813
2022-07-13,7,,,2022-07-13T23:56:07,37394,22104,13081,3602,10622,9400,10679,1129,4127,2152,7882,1645,4167,5439,3701,4943,4742,201,201,478,412,66,67,315,49,26,26,17,0,0,0,12063,20481,15545,120,0,198,0,144,0,0,0,2076,1790,2538,1790,0,0,1540,100,23690,15515,15515,15085,10,168,513,238,-127,111,0,0,0,28,0,88,-4,1358,-1000,1306,-904,1252,-136,4032,-2044,0,1418,945,236,0,0,16822,6868,6589,6324,5062,748
2022-07-13,8,,,2022-07-13T23:56:07,37394,22019,13081,3602,10622,9400,10679,1129,4275,2565,7882,1702,4003,5723,3760,4943,4742,201,201,478,333,145,153,315,49,26,26,17,0,0,0,12041,20991,16104,62,0,174,0,144,0,0,0,2076,1790,2456,1790,0,0,1540,100,23712,15945,16188,15945,8,344,513,244,-127,117,0,0,0,28,0,88,-4,1538,-1000,1115,-1065,752,-92,3521,-2161,0,1418,945,236,0,0,17246,6466,6074,6085,5013,666
2022-07-13,9,,,2022-07-13T23:56:07,37394,22628,13081,3602,10622,9400,10679,1129,4724,3159,7882,1750,4507,5725,3817,4943,4742,201,201,478,228,250,242,315,49,26,26,17,0,0,0,11986,21547,16845,62,0,174,0,144,0,0,0,2076,1790,2456,1790,0,0,1540,100,23768,16631,16797,16631,4,534,513,128,-128,0,0,0,0,28,0,108,-19,1558,-1000,1119,-1069,752,-92,3565,-2180,0,1418,945,236,0,0,18049,5719,5997,5916,4830,666
2022-07-13,10,,,2022-07-13T23:56:07,37394,22221,13081,3602,10622,9400,10679,1520,4713,3591,7882,1734,4560,5730,4110,4943,4893,50,50,478,147,332,307,315,49,26,26,17,0,0,0,12421,21473,17483,120,0,198,0,144,0,0,0,2102,1715,2564,1715,0,0,1540,100,23333,17163,17248,17163,4,659,513,127,-127,0,0,0,0,28,0,88,0,1458,-1000,1320,-1125,752,-136,3646,-2261,0,1418,945,236,0,0,18581,4752,5058,5498,4117,849
